Price,Address,City,Bedrooms,Baths,Area,Type
45000000,"Saima Jinnah Avenue, Malir",Karachi,3,5,9.8 Marla,Penthouse
115000000,"Creek Vista, DHA Phase 8",Karachi,4,4,1.22 Kanal,Penthouse
135000000,"Creek Vista, DHA Phase 8",Karachi,4,4,1.24 Kanal,Penthouse
6500000,"KN Gohar Green City, Karachi",Karachi,2,2,5.8 Marla,Penthouse
130000000,"Emaar Pearl Towers, Emaar Crescent Bay",Karachi,2,2,1.12 Kanal,Penthouse
25000000,"DHA Phase 5, DHA Defence",Karachi,3,4,11.1 Marla,Penthouse
17500000,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",Karachi,4,4,8 Marla,Penthouse
10500000,"Yaseenabad, Gulberg Town",Karachi,2,2,4.4 Marla,Penthouse
95000000,"Clifton - Block 8, Clifton",Karachi,4,4,1.00 Kanal,Penthouse
297000000,"Emaar Crescent Bay, DHA Phase 8",Karachi,5,6,2.16 Kanal,Penthouse
22300000,"DHA Phase 5, DHA Defence",Karachi,3,3,8 Marla,Penthouse
27500000,"P & T Colony, Karachi",Karachi,4,5,14.2 Marla,Penthouse
16000000,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",Karachi,3,3,13.3 Marla,Penthouse
15000000,"North Nazimabad - Block A, North Nazimabad",Karachi,4,3,8 Marla,Penthouse
34000000,"Clifton - Block 1, Clifton",Karachi,3,3,12.4 Marla,Penthouse
6900000,"Tariq Bin Ziyad Housing Society, Malir",Karachi,2,2,4 Marla,Penthouse
14000000,"Karachi Administration Employees Society, Jamshed Town",Karachi,2,2,8 Marla,Penthouse
36000000,"Clifton - Block 7, Clifton",Karachi,3,3,8 Marla,Penthouse
3400000,"Anwar-e-Ibrahim, Malir",Karachi,2,2,3.2 Marla,Penthouse
20000000,"North Karachi, Karachi",Karachi,4,4,16 Marla,Penthouse
35000000,"DHA Phase 5, DHA Defence",Karachi,3,3,10.7 Marla,Penthouse
40000000,"Sharfabad, Gulshan-e-Iqbal Town",Karachi,4,4,18.7 Marla,Penthouse
285000000,"HMR Waterfront, DHA Phase 8",Karachi,6,6,1.35 Kanal,Penthouse
45000000,"Sharfabad, Gulshan-e-Iqbal Town",Karachi,5,5,12 Marla,Penthouse
12000000,"Gulshan-e-Kaneez Fatima - Block 1, Gulshan-e-Kaneez Fatima",Karachi,4,3,8 Marla,Penthouse
12000000,"Gulshan-e-Kaneez Fatima - Block 1, Gulshan-e-Kaneez Fatima",Karachi,3,3,8 Marla,Penthouse
33500000,"Shanzil Golf Residencia, Jinnah Avenue",Karachi,3,4,17.8 Marla,Penthouse
11000000,"PECHS Block 6, PECHS",Karachi,3,3,6.7 Marla,Penthouse
37500000,"North Nazimabad - Block B, North Nazimabad",Karachi,4,4,1.40 Kanal,Penthouse
14000000,"Clifton - Block 2, Clifton",Karachi,2,2,5.8 Marla,Penthouse
50000000,"PECHS Block 2, PECHS",Karachi,4,5,12 Marla,Penthouse
65000000,"Tariq Road, Karachi",Karachi,5,6,2.00 Kanal,Penthouse
380000000,"Clifton - Block 5, Clifton",Karachi,4,4,1.96 Kanal,Penthouse
650000000,"Delhi Colony, Karachi",Karachi,2,2,4 Marla,Penthouse
300000000,"HMR Waterfront, DHA Phase 8",Karachi,4,5,2.00 Kanal,Penthouse
6500000,"Delhi Colony, Karachi",Karachi,3,2,4.9 Marla,Penthouse
30000000,"PECHS Block 2, PECHS",Karachi,3,3,1.3 Marla,Penthouse
18500000,"GT Road, Rawalpindi",Rawalpindi,8,4,6.00 Kanal,Farm House
650000000,"Wah Link Road, Rawalpindi",Rawalpindi,11,6,180.00 Kanal,Farm House
200000000,"Sarwar Road, Rawalpindi",Rawalpindi,6,6,57.00 Kanal,Farm House
103000000,"Chakbeli Road, Rawalpindi",Rawalpindi,2,2,22.00 Kanal,Farm House
4500000,"Rose Valley, Adiala Road",Rawalpindi,4,3,1.00 Kanal,Farm House
30000000,"Islamabad Farm Houses, Rawalpindi",Rawalpindi,1,1,5.00 Kanal,Farm House
100000000,"Officer Colony, Misryal Road",Rawalpindi,8,6,2.65 Kanal,Farm House
55000000,"Bedian Road, Lahore",Lahore,2,2,4.00 Kanal,Farm House
80000000,"Bedian Road, Lahore",Lahore,4,5,4.00 Kanal,Farm House
70000000,"Bedian Road, Lahore",Lahore,5,6,10.00 Kanal,Farm House
170000000,"Bedian Road, Lahore",Lahore,6,7,5.50 Kanal,Farm House
140000000,"Bedian Road, Lahore",Lahore,6,7,8.00 Kanal,Farm House
42500000,"Barki Road, Cantt",Lahore,1,1,5.70 Kanal,Farm House
42500000,"Barki Road, Cantt",Lahore,1,2,5.00 Kanal,Farm House
45000000,"Bedian Road, Lahore",Lahore,2,2,4.00 Kanal,Farm House
32500000,"Bedian Greens Farm Houses, Bedian Road",Lahore,2,3,3.00 Kanal,Farm House
54000000,"Barki Road, Cantt",Lahore,3,4,3.15 Kanal,Farm House
80000000,"Barki Road, Cantt",Lahore,4,4,4.70 Kanal,Farm House
150000000,"Spring Meadows, Bedian Road",Lahore,4,5,8.00 Kanal,Farm House
65000000,"Bedian Road, Lahore",Lahore,1,1,4.00 Kanal,Farm House
72500000,"Bedian Road, Lahore",Lahore,3,4,5.55 Kanal,Farm House
140000000,"Bedian Road, Lahore",Lahore,3,4,8.75 Kanal,Farm House
